name,type,region,locality,geolocation
Tsarev mound,archaeological sites,Samara Region,Volzhsky,"(Decimal('50.11913'), Decimal('53.418617'))"
cup-shaped stones,archaeological sites,Republic of North Ossetia - Alania,Lac,"(Decimal('44.294444'), Decimal('42.824969'))"
Jurchen stone turtle,archaeological sites,Primorsky Krai,Ussuriisk,"(Decimal('131.95178'), Decimal('43.797273'))"
Chudskaya mountain,archaeological sites,Omsk region,Bohochanovo,"(Decimal('73.741471'), Decimal('57.163211'))"
Sheymin-Forest,archaeological sites,Yamalo-Nenets Autonomous Okrug,Samburg,"(Decimal('78.223876'), Decimal('67.003493'))"
Shirinsky Archaeological Park,archaeological sites,The Republic of Khakassia,Efremkino,"(Decimal('89.445864'), Decimal('54.469709'))"
"Ethno-archaeological complex ""The Lost World""",archaeological sites,Rostov region,Puhlyakovsky,"(Decimal('40.58769'), Decimal('47.514135'))"
Yalomanskoe settlement,archaeological sites,Altai Republic,Kupchegen,"(Decimal('86.421012'), Decimal('50.624384'))"
"""Voronezh Ventoux""",archaeological sites,Voronezh region,Voronezh,"(Decimal('39.222377'), Decimal('51.696656'))"
pisanitsa,archaeological sites,The Republic of Khakassia,bograd,"(Decimal('90.844981'), Decimal('54.227406'))"
hillfort Vyshegorod,archaeological sites,Pskov region,Vyshegorod,"(Decimal('29.713152'), Decimal('57.473371'))"
National Museum Kazanovka,archaeological sites,The Republic of Khakassia,Kazanovka,"(Decimal('90.036102'), Decimal('53.221058'))"
Petroglyphs Sikachi-Alyan,archaeological sites,Khabarovsk region,Sikachi-Alyan,"(Decimal('135.639949'), Decimal('48.750676'))"
Shishkin pisanitsa,archaeological sites,Irkutsk region,Качуг,"(Decimal('105.89257'), Decimal('53.960364'))"
Historical and archaeological reserve Naples-Scythian,archaeological sites,Republic of Crimea,Simferopol,"(Decimal('34.100318'), Decimal('44.948237'))"
Ahtyrka,Ruin,Tambov Region,Ahtyrka,"(Decimal('41.671957'), Decimal('52.546264'))"
Barnaul silver factory,Ruin,Altai region,Barnaul,"(Decimal('83.743592'), Decimal('53.287699'))"
Battery Mount,Ruin,Leningrad region,Vyborg,"(Decimal('28.761513'), Decimal('60.70711'))"
towers Tuaeva,architecture,Republic of North Ossetia - Alania,medicine,"(Decimal('43.910711'), Decimal('42.671548'))"
Dargavsky necropolis,Cemeteries and graveyards,Republic of North Ossetia - Alania,Dargavs,"(Decimal('44.437887'), Decimal('42.835522'))"
Abandoned Trinity Church,Ruin,Nizhny Novgorod Region,Khudyakov (Zinyakovsky s / s),"(Decimal('43.826647'), Decimal('56.588551'))"
"The building of the brewery ""Prikamsky""",Ruin,Perm,Permian,"(Decimal('54.041929'), Decimal('56.731101'))"
"Having ""Help""",architecture,Tambov Region,Sovyetsk,"(Decimal('42.357829'), Decimal('52.238747'))"
fortress Trongzund,Ruin,Leningrad region,Vysotsk,"(Decimal('28.568277'), Decimal('60.625604'))"
Fortress in Ust-Elegest,defenses,Tyva Republic,Ust-Elegest,"(Decimal('94.099622'), Decimal('51.564243'))"
Paramonovskie warehouses,Ruin,Rostov region,Rostov-on-Don,"(Decimal('39.720349'), Decimal('47.222078'))"
church of the Transfiguration,Ruin,Tambov Region,transformation,"(Decimal('41.659255'), Decimal('52.479098'))"
The ruins of a Byzantine church,Ruin,Krasnodar region,Sochi,"(Decimal('39.723062'), Decimal('43.585525'))"
Transfiguration Monastery,Ruin,Bryansk region,Sevsk,"(Decimal('34.495091'), Decimal('52.156089'))"
Uvek settlement,Ruin,Saratov region,Always,"(Decimal('45.981355'), Decimal('51.411969'))"
Urlyapovo tract,archaeological sites,Tambov Region,Novonikolsk,"(Decimal('40.396241'), Decimal('52.824241'))"
Golitsyn Manor in the village of Murom-Prechistoye,architecture,Smolensk region,Prechistoe,"(Decimal('34.628797'), Decimal('55.662471'))"
Church of Elijah the Prophet,Ruin,Perm,Pyantyeg,"(Decimal('56.250662'), Decimal('60.155265'))"
The headquarters of the military settlements,Ruin,Novgorod region,Celina,"(Decimal('31.664509'), Decimal('58.890996'))"
A former soldier bath,Ruin,Udmurt republic,Izhevsk,"(Decimal('53.342321'), Decimal('57.93002'))"
The ruins of the mosque in the town of Bolgar,Ruin,Republic of Tatarstan,Bulgaria,"(Decimal('49.030354'), Decimal('54.974917'))"
older Tinaki,Ruin,Astrakhan region,saltwort,"(Decimal('48.003301'), Decimal('46.386996'))"
"Golden Buddha in datsan ""Rinpoche Bagsha""",places of pilgrimage,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.584574'), Decimal('51.834464'))"
Ilyinsky temple,places of pilgrimage,Moscow region,Sergiev Posad,"(Decimal('38.135963'), Decimal('56.315311'))"
"Graves' Three elders """,places of pilgrimage,Nizhny Novgorod Region,Vladimir,"(Decimal('45.11749'), Decimal('56.820296'))"
Forgiveness well,places of pilgrimage,Lipetsk region,Sagittarius,"(Decimal('38.217728'), Decimal('52.409814'))"
"Holy Spring ""Batin Key""",places of pilgrimage,Kostroma region,Noskov,"(Decimal('45.603874'), Decimal('59.071255'))"
"Holy source ""flow""",places of pilgrimage,Kostroma region,Shemyatino,"(Decimal('40.667532'), Decimal('57.385674'))"
Adrianov Poshehonsky Monastery,monasteries,Yaroslavskaya oblast,Poshekhonye,"(Decimal('39.12005'), Decimal('58.503749'))"
Alapaevsk monastery New Martyrs Russian,monasteries,Sverdlovsk region,lower Sinyachikha,"(Decimal('61.766021'), Decimal('57.947233'))"
Alexander Nevsky Iberdsky convent,monasteries,Ryazan Oblast,Korablino,"(Decimal('40.230304'), Decimal('53.852865'))"
Alexander Nevsky Monastery Fileysky Kirov,monasteries,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
Alexis Akatov Monastery,monasteries,Voronezh region,Voronezh,"(Decimal('41.377597'), Decimal('51.109561'))"
Alexis Novodevichy Convent,monasteries,Nizhny Novgorod Region,Arzamas,"(Decimal('43.815687'), Decimal('55.386666'))"
Alexis convent,monasteries,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
Aleksievsky Akatov convent,monasteries,Voronezh region,Voronezh,"(Decimal('41.377597'), Decimal('51.109561'))"
Ambrose Nicholas Dudin Monastery,monasteries,Nizhny Novgorod Region,Teteryugino,"(Decimal('43.394602'), Decimal('56.184956'))"
St. Anthony Convent Krasnokholmsky,monasteries,Tver region,freedom,"(Decimal('37.078871'), Decimal('58.037827'))"
St. Anthony monastery,monasteries,Novgorod region,Novgorod,"(Decimal('31.264417'), Decimal('58.517908'))"
Antony Dymsky Monastery,monasteries,Leningrad region,red Armored car,"(Decimal('33.680912'), Decimal('59.574134'))"
Arkadievsky monastery,monasteries,Smolensk region,Vyazma,"(Decimal('34.298037'), Decimal('55.205944'))"
Arkhangelsk Solovetsky monastery courtyard,monasteries,Arhangelsk region,Arkhangelsk,"(Decimal('40.689344'), Decimal('64.42561'))"
Achairsky monastery,monasteries,Omsk region,Açair,"(Decimal('73.82143'), Decimal('54.663156'))"
Annunciation monastery,monasteries,Lipetsk region,burn,"(Decimal('38.09341'), Decimal('52.053776'))"
Annunciation Monastery,monasteries,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.394602'), Decimal('56.184956'))"
Virgin-Aleksievsky Monastery,monasteries,Tomsk region,Tomsk,"(Decimal('84.947649'), Decimal('56.48464'))"
Nativity Monastery Anastasov,monasteries,Tula region,Anastasovo,"(Decimal('36.719284'), Decimal('53.947945'))"
Nativity Monastery,monasteries,Vladimir region,Vladimir,"(Decimal('40.398765'), Decimal('56.131455'))"
Bogorodichno-Albazinskiy Monastery,monasteries,Amur region,Zeyskaya,"(Decimal('127.265889'), Decimal('53.734033'))"
Bogorodichno-Christmas maiden desert,monasteries,Kaluga region,Baryatino,"(Decimal('34.517325'), Decimal('54.310231'))"
Epiphany Monastery Avraamiev,monasteries,Yaroslavskaya oblast,Rostov,"(Decimal('39.414526'), Decimal('57.185866'))"
Epiphany nunnery,monasteries,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
Epiphany nunnery,monasteries,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
Bogoyavlensko-Anastasiin convent,monasteries,Kostroma region,Kostroma,"(Decimal('40.926858'), Decimal('57.767961'))"
Boris and Gleb Monastery Novotorzhsky,monasteries,Tver region,Torzhok,"(Decimal('34.939093'), Decimal('57.050753'))"
Borisoglebsky a monastery,monasteries,Moscow region,Dmitrov,"(Decimal('37.520294'), Decimal('56.344052'))"
Varlaamo-Khutyn Transfiguration Monastery,monasteries,Novgorod region,Khutyni,"(Decimal('31.392571'), Decimal('58.584199'))"
Permission-Oyat nunnery,monasteries,Leningrad region,Dawn,"(Decimal('33.172511'), Decimal('60.456015'))"
Vvedensky Nunnery,monasteries,Leningrad region,Tikhvin,"(Decimal('33.509091'), Decimal('59.656235'))"
Verbilovsky monastery,monasteries,Pskov region,Verbilovo,"(Decimal('29.089299'), Decimal('56.457557'))"
Ascension of the Holy Monastery of the Caves,monasteries,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.394602'), Decimal('56.184956'))"
Ascension Monastery,monasteries,Tambov Region,Tambov,"(Decimal('41.452274'), Decimal('52.721219'))"
Resurrection Novodevichy Convent,monasteries,St. Petersburg,St. Petersburg,"(Decimal('30.329909'), Decimal('59.930169'))"
Resurrection Monastery,monasteries,Yaroslavskaya oblast,Uglich,"(Decimal('38.415411'), Decimal('57.09535'))"
Resurrection Monastery,monasteries,Bryansk region,Berejok,"(Decimal('34.821036'), Decimal('53.186237'))"
Vyatsky Savior-Transfiguration Novodevichy Convent,monasteries,Kirov region,Kirov,"(Decimal('49.745916'), Decimal('58.641864'))"
Mining Nicholas Monastery,monasteries,Bryansk region,Bryansk,"(Decimal('34.363407'), Decimal('53.243562'))"
Gorodetsky Theodore Monastery,monasteries,Nizhny Novgorod Region,Gorodets,"(Decimal('43.472351'), Decimal('56.644822'))"
Far Davydovsky convent,monasteries,Nizhny Novgorod Region,Davydovo,"(Decimal('42.630836'), Decimal('55.694774'))"
Desyatinny monastery,monasteries,Novgorod region,Novgorod,"(Decimal('31.264417'), Decimal('58.517908'))"
Dubovskii Holy Ascension Nunnery,monasteries,Volgograd region,Dubovka,"(Decimal('44.826957'), Decimal('49.055369'))"
Diocesan Monastery in honor of the Holy New Martyrs and Confessors Russian,monasteries,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
Female Sretensky monastery in the village of Baturino,monasteries,The Republic of Buryatia,Baturin,"(Decimal('107.857851'), Decimal('52.334372'))"
Nunnery in honor of Holy Martyr Grand Duchess Elizabeth,monasteries,Kaliningrad region,Slavsk,"(Decimal('21.680067'), Decimal('55.043819'))"
"Nunnery in honor of the Mother of God ""Indestructible Wall""",monasteries,Krasnodar region,Apsheronsk,"(Decimal('39.736743'), Decimal('44.468346'))"
"Nunnery in honor of the Blessed Virgin Mary ""Sporitelnitsa bread""",monasteries,Sverdlovsk region,Sredneuralsk,"(Decimal('60.477136'), Decimal('56.991837'))"
Zadonsk Nativity of Our Lady Monastery,monasteries,Lipetsk region,zadonsk,"(Decimal('38.919456'), Decimal('52.391972'))"
Zverin Monastery,monasteries,Novgorod region,Novgorod,"(Decimal('31.264417'), Decimal('58.517908'))"
Zilant monastery,monasteries,Republic of Tatarstan,Kazan,"(Decimal('49.108795'), Decimal('55.796289'))"
Znamensky nunnery,monasteries,Altai region,Barnaul,"(Decimal('83.795946'), Decimal('53.328117'))"
Znamensky nunnery,monasteries,Kostroma region,Kostroma,"(Decimal('40.926858'), Decimal('57.767961'))"
Zolotnikovskaya Assumption desert,monasteries,Ivanovo region,Zolotnikovskaya Deserts,"(Decimal('40.613876'), Decimal('56.690322'))"
Iver Svyatoezerskaya desert,monasteries,Ivanovo region,Mugreevsky,"(Decimal('42.349206'), Decimal('56.599573'))"
Iver convent,monasteries,Nizhny Novgorod Region,Vyksa,"(Decimal('42.207209'), Decimal('55.324243'))"
Iver monastery,monasteries,Samara Region,Samara,"(Decimal('50.101783'), Decimal('53.195538'))"
Iverskogo-Sofronieva desert,monasteries,Nizhny Novgorod Region,Kovacs,"(Decimal('43.502508'), Decimal('55.518836'))"
John the Theologian Makarov Friary,monasteries,The Republic of Mordovia,Saransk,"(Decimal('45.298186'), Decimal('54.182843'))"
John the Theologian Sursky convent,monasteries,Arhangelsk region,Sura,"(Decimal('45.634354'), Decimal('63.574057'))"
Ivanovsky Convent Convent in Vyazma,monasteries,Smolensk region,Vyazma,"(Decimal('34.298037'), Decimal('55.205944'))"
Kazan convent. Kazan Cathedral,monasteries,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.886501'), Decimal('57.629643'))"
Kazansky Monastery Vyshny Volochyok,monasteries,Tver region,Vishny Volochek,"(Decimal('34.5603'), Decimal('57.588829'))"
Cosmas-Damianovsky Monastery,monasteries,Republic of Crimea,Alushta,"(Decimal('34.41012'), Decimal('44.676404'))"
Krasnoselsky John the Baptist Convent in the city of Solikamsk,monasteries,Perm,Solikamsk,"(Decimal('56.771029'), Decimal('59.648333'))"
Holy Cross convent,monasteries,Bryansk region,Sevsk,"(Decimal('34.495091'), Decimal('52.156089'))"
Krypetsky John the Theologian Monastery,monasteries,Pskov region,Krypetskoe 1,"(Decimal('28.582093'), Decimal('57.960958'))"
Kursk Holy Trinity Convent,monasteries,Kursk region,Kursk,"(Decimal('36.282442'), Decimal('51.749429'))"
Leohnovsky Monastery,monasteries,Novgorod region,Leohnovo,"(Decimal('30.999845'), Decimal('58.025599'))"
Lihvinsky Assumption Monastery in the village Gremyacheve,monasteries,Kaluga region,Gremyachevo,"(Decimal('36.254945'), Decimal('54.24233'))"
Malinowski skit,monasteries,Nizhny Novgorod Region,Philippovsky (Kantaurovsky s / s),"(Decimal('44.113829'), Decimal('56.520196'))"
Little Seraphim Diveevo Convent,monasteries,Udmurt republic,Norya,"(Decimal('52.703736'), Decimal('56.670168'))"
Malskyy monastery,monasteries,Pskov region,small,"(Decimal('27.83606'), Decimal('57.737567'))"
Meshchovsk George Monastery,monasteries,Kaluga region,Meshchovsk,"(Decimal('35.278081'), Decimal('54.321476'))"
Mirozhsky monastery,monasteries,Pskov region,Pskov,"(Decimal('28.333915'), Decimal('57.797035'))"
Archangel Michael Monastery,monasteries,Novosibirsk region,fur,"(Decimal('82.130128'), Decimal('54.562393'))"
Archangel Michael Monastery in the village of Ust-Vym,monasteries,Komi Republic,Ust-Vym,"(Decimal('50.39493'), Decimal('62.225349'))"
Archangel Michael Monastery,monasteries,Vologda Region,great Ustyug,"(Decimal('46.29784'), Decimal('60.761156'))"
St. Michael Pokrovsky Monastery,monasteries,Ryazan Oblast,Mikhailov,"(Decimal('39.023508'), Decimal('54.232506'))"
Mogilev Assumption Monastery,monasteries,Tver region,Mogilevka,"(Decimal('37.049837'), Decimal('56.770204'))"
Resurrection monastery,monasteries,Kostroma region,Soligalich,"(Decimal('42.285973'), Decimal('59.077591'))"
Monastery Optina,monasteries,Kaluga region,Kozelsk,"(Decimal('35.832916'), Decimal('54.054854'))"
Saint Elizabeth Monastery,monasteries,Kaliningrad region,Lakeshire,"(Decimal('21.747881'), Decimal('55.005392'))"
Monastery of the Savior on the Ugra,monasteries,Kaluga region,Kaluga,"(Decimal('36.261215'), Decimal('54.513845'))"
Monastery in Shamordino,monasteries,Kaluga region,Shamordino,"(Decimal('35.87997'), Decimal('54.156474'))"
Male Kazansky Monastery,monasteries,Penza region,Norovka,"(Decimal('43.641019'), Decimal('53.531092'))"
Murom Spaso-Preobrazhensky Monastery,monasteries,Vladimir region,Moore,"(Decimal('42.031418'), Decimal('55.569611'))"
Mtsensk Peter and Paul Monastery in Orel region.,monasteries,Oryol Region,Mцensk,"(Decimal('36.565807'), Decimal('53.293528'))"
Nikita Kashirsky convent,monasteries,Moscow region,Kashira,"(Decimal('38.15154'), Decimal('54.834589'))"
Nikitsky monastery,monasteries,Yaroslavskaya oblast,Pereslavl,"(Decimal('38.86836'), Decimal('56.75821'))"
Cowl Nicholas convent in Kashin of Tver Region,monasteries,Tver region,Cashin,"(Decimal('37.61344'), Decimal('57.358381'))"
Nicholas Monastery,monasteries,Nizhny Novgorod Region,Arzamas,"(Decimal('43.815687'), Decimal('55.386666'))"
St. Nicholas Monastery in Babaevsky Nekrasovskoe district of Yaroslavl region,monasteries,Yaroslavskaya oblast,Nekrasovskoye,"(Decimal('40.366705'), Decimal('57.67751'))"
Nicholas Berlyukovskaya men's deserts in the Noginsk district of the Moscow region,monasteries,Moscow region,Losino-Petrovsky,"(Decimal('38.200983'), Decimal('55.872183'))"
Nicholas Volosovsky diocesan convent in the village of Volosovo,monasteries,Vladimir region,Volosovo,"(Decimal('40.16223'), Decimal('56.171653'))"
St. Nicholas Monastery Vyazhischsky,monasteries,Novgorod region,Vyazhishti,"(Decimal('31.168055'), Decimal('58.625764'))"
Peshnoshsky Nicholas Monastery in Moskovskaya oblast,monasteries,Moscow region,Lugovoy,"(Decimal('37.232761'), Decimal('56.457587'))"
St. Nicholas Monastery Radovitsky,monasteries,Moscow region,Radovicy,"(Decimal('39.533616'), Decimal('55.098743'))"
Nicholas Stolpenskaya Pustin Tver region (Nicholas Stolbensky Pustin),monasteries,Tver region,Vishny Volochek,"(Decimal('35.181242'), Decimal('57.659604'))"
Nicholas Terebenskaya desert,monasteries,Tver region,toiler,"(Decimal('35.66106'), Decimal('58.007503'))"
St. Nicholas Monastery Ugreshsky,monasteries,Moscow region,Dzerzhinsky,"(Decimal('37.849616'), Decimal('55.630939'))"
"Nicholas Uleyminsky convent in Uglich District, Yaroslavl Region",monasteries,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
Verkhotursky Nicholas Monastery,monasteries,Sverdlovsk region,Verkhotur'e,"(Decimal('60.810213'), Decimal('58.862216'))"
Nikolsky convent Kuzhenersky,monasteries,Mari El Republic,big Sabaner,"(Decimal('48.933659'), Decimal('56.828768'))"
Pereslavsky Nicholas convent in the Yaroslavl region,monasteries,Yaroslavskaya oblast,Pereslavl,"(Decimal('38.837592'), Decimal('56.730692'))"
Nicholas Tikhonov Luhovsky Monastery in Ivanovo region,monasteries,Ivanovo region,Timiryazevo,"(Decimal('42.234024'), Decimal('57.04667'))"
Nicholas Monastery,monasteries,Leningrad region,Staraya Ladoga,"(Decimal('32.292422'), Decimal('60.001131'))"
Nilo-Sora desert,monasteries,Vologda Region,Kirillov,"(Decimal('38.294183'), Decimal('59.982806'))"
Nilov deserts,monasteries,The Republic of Buryatia,Nilovka,"(Decimal('101.674198'), Decimal('51.694445'))"
Nilov deserts,monasteries,Tver region,skylights,"(Decimal('33.070076'), Decimal('57.237655'))"
Novo-Tikhvin Nunnery,monasteries,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
"Orange, Virgin Monastery",monasteries,Nizhny Novgorod Region,plowing,"(Decimal('43.715579'), Decimal('55.895797'))"
Kiy island,architecture,Arhangelsk region,Onega,"(Decimal('37.890193'), Decimal('63.99962'))"
Ostrovoezersky Trinity Monastery,monasteries,Nizhny Novgorod Region,Vorsma,"(Decimal('43.271955'), Decimal('55.98999'))"
Paraskevi Paygarmsky Ascension convent in Ruzaevsky district of Mordovia,monasteries,The Republic of Mordovia,Ruzaevka,"(Decimal('44.94911'), Decimal('54.058268'))"
Paraskevi Ascension Nunnery,monasteries,The Republic of Mordovia,Paygarma,"(Decimal('44.838931'), Decimal('54.083016'))"
Perm Epiphany Monastery in Upper Courier,monasteries,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Rostov Petrovsky Monastery in Yaroslavl region,monasteries,Yaroslavskaya oblast,Rostov,"(Decimal('39.381504'), Decimal('57.17788'))"
Compound Vvedensky Monastery in Optina,monasteries,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Pokrovsky Khotko stauropegic convent,monasteries,Moscow region,Hotkovo,"(Decimal('37.987732'), Decimal('56.251137'))"
"Intercession Monastery Vasilevsky,",monasteries,Moscow region,Pavlovsky Posad,"(Decimal('38.651318'), Decimal('55.779393'))"
Transfiguration Monastery,monasteries,Sverdlovsk region,Kamensk-Uralsky,"(Decimal('61.918708'), Decimal('56.414927'))"
Ranenburgskaya Paul desert,monasteries,Lipetsk region,Roshinsky,"(Decimal('40.002195'), Decimal('53.262735'))"
Rigodischensky Nativity Convent,monasteries,Tver region,Rigodishti,"(Decimal('34.21232'), Decimal('57.989947'))"
Rizopolozhensky convent,monasteries,Vladimir region,Suzdal,"(Decimal('40.449457'), Decimal('56.419836'))"
Rila St. Nicholas Monastery,monasteries,Kursk region,suburban Slobidka,"(Decimal('34.687744'), Decimal('51.585278'))"
Savvateva deserts in the Tver Region,monasteries,Tver region,Savvatevo,"(Decimal('36.104908'), Decimal('56.837135'))"
Savvino Storozhevsky Monastery,monasteries,Moscow region,Zvenigorod,"(Decimal('36.855325'), Decimal('55.729686'))"
Holy Annunciation Nikandrova desert,monasteries,Pskov region,Lyubovets,"(Decimal('29.259324'), Decimal('57.851855'))"
Holy Annunciation Kirzhachskiy convent,monasteries,Vladimir region,Kirzhach,"(Decimal('38.872052'), Decimal('56.161709'))"
Holy Mother of God Monastery Shcheglovsky in Tula,monasteries,Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
Holy Epiphany Monastery in p.Mstora,monasteries,Vladimir region,Mstera,"(Decimal('41.926198'), Decimal('56.375334'))"
Nikon Vvedensky Monastery in Yuryev-Polsky,monasteries,Vladimir region,Yuriev-Polsky,"(Decimal('39.680814'), Decimal('56.49925'))"
Vvedensky Nunnery,monasteries,Pskov region,Vladimirets,"(Decimal('29.166896'), Decimal('57.37991'))"
St. Dimitry Troekurov Ilarionovsky diocesan convent,monasteries,Lipetsk region,Troekurovo,"(Decimal('38.975726'), Decimal('52.975219'))"
Holy Spirit Convent Jacob Borovichsky,monasteries,Novgorod region,Borovichi,"(Decimal('33.914025'), Decimal('58.388219'))"
Holy Spirit Monastery Skopinsky,monasteries,Ryazan Oblast,Skopin,"(Decimal('39.67599'), Decimal('53.924145'))"
Holy Spirit Convent in Veliky Novgorod,monasteries,Novgorod region,Novgorod,"(Decimal('31.269915'), Decimal('58.52281'))"
Holy Spirit Monastery,monasteries,Novgorod region,Borovichi,"(Decimal('33.914025'), Decimal('58.388219'))"
Holy Spirit Alatirskie desert,monasteries,Chuvash Republic,Alatyr,"(Decimal('46.564649'), Decimal('54.829564'))"
Saint Catherine's Monastery of Tver,monasteries,Tver region,Tver,"(Decimal('35.907009'), Decimal('56.855073'))"
St. John the Theologian Monastery,monasteries,Ryazan Oblast,Poshtupovo,"(Decimal('39.71981'), Decimal('54.820773'))"
St. John's Monastery,monasteries,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Holy men Kosminskaya desert,monasteries,Sverdlovsk region,Kostyleva,"(Decimal('61.246579'), Decimal('58.795108'))"
Holy Lavrentiev Monastery in Kaluga,monasteries,Kaluga region,Kaluga,"(Decimal('36.167539'), Decimal('54.53284'))"
St. Michael's Convent in the Ulyanovsk region,monasteries,Ulyanovsk region,Ulyanovsk,"(Decimal('47.873907'), Decimal('53.549671'))"
St. Nicholas Monastery Cherneevsky,monasteries,Ryazan Oblast,Starocherneevo,"(Decimal('41.852734'), Decimal('53.856928'))"
St. Nicholas Monastery Chernoostrovsky,monasteries,Kaluga region,Dubna,"(Decimal('36.462555'), Decimal('55.011897'))"
St. Nicholas Monastery,monasteries,Omsk region,Bolshekulache,"(Decimal('73.251665'), Decimal('55.212067'))"
Holy Olginsky convent,monasteries,The Republic of Mordovia,Insarsky,"(Decimal('44.372248'), Decimal('53.866508'))"
St. Panteleimon Monastery,monasteries,Kamchatka Krai,Petropavlovsk-Kamchatsky,"(Decimal('158.643566'), Decimal('53.024075'))"
St. Panteleimon Monastery,monasteries,Kemerovo region,Bezrukovo,"(Decimal('87.558512'), Decimal('53.778165'))"
St. Paphnutius of Borovsk Monastery,monasteries,Kaluga region,Borowski,"(Decimal('36.483584'), Decimal('55.207634'))"
St. Peter and Paul convent,monasteries,Khabarovsk region,foo,"(Decimal('135.523671'), Decimal('48.681674'))"
Holy Protection Convent,monasteries,Sverdlovsk region,Камышлов,"(Decimal('62.712288'), Decimal('56.846578'))"
Holy Protection Convent,monasteries,Sverdlovsk region,Verkhotur'e,"(Decimal('60.810213'), Decimal('58.862216'))"
St. Seraphim of Sarov monastery,monasteries,Voronezh region,Novomakarovo,"(Decimal('41.233498'), Decimal('51.457797'))"
St. Seraphim of Sarov monastery,monasteries,Primorsky Krai,Russian island,"(Decimal('131.848429'), Decimal('43.005717'))"
St. Tikhonov desert,monasteries,Kaluga region,Lev Tolstoy,"(Decimal('36.080223'), Decimal('54.704248'))"
St. Tikhon's Monastery in Toropets,monasteries,Tver region,Torzhok,"(Decimal('31.643704'), Decimal('56.483457'))"
The Holy Trinity Alexander Nevsky Lavra,monasteries,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Holy Trinity St. Sergius Lavra,monasteries,Moscow region,Sergiev Posad,"(Decimal('38.128866'), Decimal('56.309609'))"
Holy Trinity Monastery Michael-Klopskyy,monasteries,Novgorod region,Selco,"(Decimal('31.118432'), Decimal('58.385591'))"
Holy Trinity Monastery of St. Paul Obnorsk,monasteries,Vologda Region,youthful,"(Decimal('40.339072'), Decimal('58.760685'))"
Holy Trinity Seraphim-Diveevo Monastery,monasteries,Nizhny Novgorod Region,Diveevo,"(Decimal('43.246883'), Decimal('55.036742'))"
Stefanov Holy Trinity Monastery in the city of Perm,monasteries,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Holy Trinity Convent,monasteries,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Holy Trinity Convent,monasteries,Republic of Crimea,Simferopol,"(Decimal('34.100318'), Decimal('44.948237'))"
Holy Trinity Monastery,monasteries,Chuvash Republic,Cheboksary,"(Decimal('47.251079'), Decimal('56.146277'))"
Holy Trinity Monastery,monasteries,Chuvash Republic,Alatyr,"(Decimal('46.59194'), Decimal('54.840521'))"
Holy Trinity Monastery,monasteries,Tyumen region,Tyumen,"(Decimal('65.534328'), Decimal('57.153033'))"
Holy Trinity Monastery,monasteries,Ryazan Oblast,Ryazan,"(Decimal('39.736375'), Decimal('54.629216'))"
Holy Trinity Monastery,monasteries,Tambov Region,Michurinsk,"(Decimal('40.498011'), Decimal('52.893913'))"
Holy Assumption Florischeva desert,monasteries,Nizhny Novgorod Region,Frohlich,"(Decimal('42.652737'), Decimal('56.423127'))"
The Holy Dormition Pskov-Caves monastery,monasteries,Pskov region,Pechora,"(Decimal('27.609064'), Decimal('57.813934'))"
Yuriev Monastery,monasteries,Novgorod region,Yuryevo,"(Decimal('31.270831'), Decimal('58.479475'))"
Holy Protection Nunnery,monasteries,Sverdlovsk region,Verkhotur'e,"(Decimal('60.810213'), Decimal('58.862216'))"
Svyatogorsk Holy Assumption Monastery,monasteries,Pskov region,Pushkin Mountains,"(Decimal('28.916437'), Decimal('57.021427'))"
Sedmiozernaya men's deserts,monasteries,Republic of Tatarstan,Kazan,"(Decimal('49.108795'), Decimal('55.796289'))"
Semigorodnaya Dormition desert,monasteries,Vologda Region,Kharovsk,"(Decimal('40.168231'), Decimal('59.811555'))"
Seraphim Ponetaevsky Monastery,monasteries,Nizhny Novgorod Region,Ponetaevka,"(Decimal('43.885181'), Decimal('55.117849'))"
Serpukhov Vysotsky Monastery,monasteries,Moscow region,Serpukhov,"(Decimal('37.42235'), Decimal('54.903101'))"
